,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
2870,Virginia,51640,2625,0.3,0.7,775,1832
2871,Virginia,51071,9145,0.24,0.75,2151,6869
2872,Virginia,51073,22066,0.31,0.67,6884,14803
2873,Virginia,51075,16745,0.4,0.59,6623,9882
2874,Virginia,51077,8088,0.19,0.8,1529,6503
2875,Virginia,51079,11144,0.37,0.61,4089,6819
2876,Virginia,51081,4551,0.58,0.42,2618,1911
2877,Virginia,51083,18172,0.42,0.57,7638,10396
2878,Virginia,51650,64644,0.7,0.28,45481,18191
2879,Virginia,51085,70208,0.36,0.63,25003,44121
2880,Virginia,51660,16734,0.65,0.33,10868,5514
2881,Virginia,51087,173610,0.63,0.35,110115,61280
2882,Virginia,51089,25817,0.35,0.64,8995,16601
2883,Virginia,51091,1529,0.27,0.71,416,1091
2884,Virginia,51670,5481,0.54,0.43,2962,2372
2885,Virginia,51093,23330,0.4,0.59,9346,13661
2886,Virginia,51095,44399,0.52,0.46,23172,20407
2887,Virginia,51099,14125,0.38,0.6,5381,8431
2888,Virginia,51101,10472,0.29,0.69,3089,7230
2889,Virginia,51097,4096,0.39,0.6,1586,2447
2890,Virginia,51103,7123,0.47,0.52,3358,3694
2891,Virginia,51105,9932,0.15,0.84,1489,8365
2892,Virginia,51678,2731,0.65,0.33,1782,901
2893,Virginia,51107,221231,0.61,0.37,135806,81107
2894,Virginia,51109,21796,0.38,0.61,8205,13244
2895,Virginia,51111,5968,0.4,0.59,2404,3525
2896,Virginia,51680,35866,0.49,0.47,17447,16697
2897,Virginia,51113,8108,0.33,0.65,2684,5294
2898,Virginia,51683,16555,0.61,0.37,10100,6182
2899,Virginia,51685,6071,0.64,0.34,3913,2062
2900,Virginia,51690,5978,0.63,0.36,3741,2164
2901,Virginia,51115,5817,0.31,0.67,1822,3895
2902,Virginia,51117,16096,0.42,0.57,6751,9234
2903,Virginia,51119,6739,0.37,0.62,2482,4181
2904,Virginia,51121,44462,0.52,0.46,23012,20532
2905,Virginia,51125,9320,0.46,0.51,4301,4791
2906,Virginia,51127,12166,0.26,0.73,3135,8898
2907,Virginia,51700,77859,0.65,0.33,50319,25594
2908,Virginia,51710,74237,0.71,0.27,52846,19995
2909,Virginia,51131,6689,0.54,0.44,3643,2947
2910,Virginia,51133,7765,0.42,0.58,3239,4471
2911,Virginia,51720,1593,0.29,0.7,463,1109
2912,Virginia,51135,7060,0.42,0.57,2966,4022
2913,Virginia,51137,20558,0.39,0.6,7921,12373
2914,Virginia,51139,12432,0.24,0.75,2982,9316
2915,Virginia,51141,9527,0.2,0.78,1948,7474
